trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.9779057766811619, 'e': 0.9230424014270336}",25,0,-170.69666995001424,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
41,False,"{'a': 0.9827517498710419, 'e': 0.9211963166241796}",20,0,-41.99217765805347,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
42,False,"{'a': 0.9376817668154099, 'e': 0.9193539239909312}",20,0,-92.84220016684782,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
43,False,"{'a': 0.9376832893799679, 'e': 0.9175152161429493}",20,0,-16.43636999786144,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.9745146815842141, 'e': 0.9156801857106633}",25,0,-59.36845558419761,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
45,False,"{'a': 0.985278992642011, 'e': 0.913848825339242}",20,0,-109.44055821205895,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
46,False,"{'a': 0.9482495862707746, 'e': 0.9120211276885636}",30,0,-161.7905906771378,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
47,False,"{'a': 0.9249989905391856, 'e': 0.9101970854331864}",25,0,-89.78842147361762,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.9457766464153051, 'e': 0.9083766912623201}",25,0,-130.993678147264,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
49,False,"{'a': 0.9787247108837507, 'e': 0.9065599378797955}",35,0,-222.46076204389254,"{0: 17, 1: 6, 2: 7, 3: 3, 4: 2}",0
50,False,"{'a': 0.9407467968821748, 'e': 0.9047468180040359}",25,0,-128.9866169162864,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
51,False,"{'a': 0.9466475606754805, 'e': 0.9029373243680279}",20,0,-93.97500060050263,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.9245185048559695, 'e': 0.9011314497192918}",20,0,-128.70197632216883,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
53,False,"{'a': 0.9101328173698671, 'e': 0.8993291868198532}",25,0,-139.8471430892207,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
