trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
187,False,"{'a': 0.1526797322759062, 'e': 0.1526797322759062}",20,4,12.450393537924656,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.15115293495314713, 'e': 0.15115293495314713}",20,12,13.058631536384214,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.14964140560361566, 'e': 0.14964140560361566}",20,0,5.152650318413428,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
190,False,"{'a': 0.1481449915475795, 'e': 0.1481449915475795}",20,7,-47.596217515155196,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
191,False,"{'a': 0.1466635416321037, 'e': 0.1466635416321037}",25,14,20.736625971545187,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.14519690621578268, 'e': 0.14519690621578268}",20,14,12.116191385646843,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.14374493715362485, 'e': 0.14374493715362485}",30,16,25.84525997074908,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.1423074877820886, 'e': 0.1423074877820886}",20,10,17.85859068032966,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.1408844129042677, 'e': 0.1408844129042677}",20,12,14.09324870911413,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.13947556877522502, 'e': 0.13947556877522502}",25,11,26.82164260262533,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.13808081308747278, 'e': 0.13808081308747278}",20,5,13.606463505065859,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.13670000495659804, 'e': 0.13670000495659804}",20,0,15.216484757041266,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
