trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.45660974774391455, 'e': 0.45660974774391455}",25,10,0.8780033433362131,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.4520436502664754, 'e': 0.4520436502664754}",25,19,3.036618996195566,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.44752321376381066, 'e': 0.44752321376381066}",20,2,-4.284173762748484,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
81,False,"{'a': 0.44304798162617254, 'e': 0.44304798162617254}",20,13,14.45051314310492,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.4386175018099108, 'e': 0.4386175018099108}",20,0,-101.26592828533278,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
83,False,"{'a': 0.4342313267918117, 'e': 0.4342313267918117}",20,9,-36.914158295599904,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.4298890135238936, 'e': 0.4298890135238936}",25,15,-36.71073329678735,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.42559012338865465, 'e': 0.42559012338865465}",20,0,-7.782105306716179,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.4213342221547681, 'e': 0.4213342221547681}",35,12,-32.85282627975688,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 0}",1
87,False,"{'a': 0.41712087993322045, 'e': 0.41712087993322045}",20,11,16.04044726227511,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.41294967113388825, 'e': 0.41294967113388825}",20,9,8.827265845503396,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.40882017442254937, 'e': 0.40882017442254937}",30,18,18.153982627033617,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.4047319726783239, 'e': 0.4047319726783239}",20,7,-1.015715906774684,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
91,False,"{'a': 0.40068465295154065, 'e': 0.40068465295154065}",25,3,-4.68252583393783,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.39667780642202527, 'e': 0.39667780642202527}",20,13,14.452746038615253,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.392711028357805, 'e': 0.392711028357805}",20,6,-28.72924104510184,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.38878391807422696, 'e': 0.38878391807422696}",30,14,-5.705500973793612,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.3848960788934847, 'e': 0.3848960788934847}",30,0,20.38739063979181,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
96,False,"{'a': 0.38104711810454983, 'e': 0.38104711810454983}",30,6,11.93424743493273,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.37723664692350434, 'e': 0.37723664692350434}",25,13,11.521941610596196,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.37346428045426927, 'e': 0.37346428045426927}",25,9,-43.40325406290221,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.36972963764972655, 'e': 0.36972963764972655}",25,14,16.62747744806841,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.36603234127322926, 'e': 0.36603234127322926}",25,11,-38.2396329874747,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 0}",1
101,False,"{'a': 0.36237201786049694, 'e': 0.36237201786049694}",20,0,16.890777490476815,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
102,False,"{'a': 0.358748297681892, 'e': 0.358748297681892}",20,12,-29.891611064319846,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.35516081470507305, 'e': 0.35516081470507305}",25,14,-29.069557733718348,"{0: 8, 1: 1, 2: 0, 3: 2, 4: 0}",1
104,False,"{'a': 0.3516092065580223, 'e': 0.3516092065580223}",35,14,1.8030309430400593,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
105,False,"{'a': 0.34809311449244207, 'e': 0.34809311449244207}",35,20,18.121387013889958,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.34461218334751764, 'e': 0.34461218334751764}",20,4,-10.342886381031214,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
